DEFAS,PORTUG,MATEM,INGLÊS,INDE_22,IPS,IEG,IDA,IPV,IAA,IAN,FASE,TURMA,ANO_INGRESSO,INSTITUIÇÃO_DE_ENSINO,PEDRA_22
-1,5.0,4.8,6.3,6.656,4.4,8.7,4.9,7.917,8.5,5.0,0,G,2022,Escola Pública,Ágata
-1,1.5,2.0,6.3,6.127,7.5,9.0,1.8,6.111,9.5,5.0,1,L,2022,Escola Pública,Ágata
-2,6.8,5.7,9.0,7.245,6.3,8.4,7.2,7.625,7.1,5.0,4,B,2021,Escola Pública,Ametista
-1,5.2,5.0,7.8,4.499,5.6,4.8,6.0,3.75,0.0,5.0,3,C,2019,Escola Pública,Quartzo
-1,5.2,1.5,6.3,6.454,6.9,8.3,3.3,6.944,9.0,5.0,2,I,2018,Escola Pública,Ágata
-1,9.7,9.5,6.3,8.513,7.5,9.3,9.6,9.417,10.0,5.0,0,S,2022,Escola Pública,Topázio
-1,8.0,7.5,6.3,7.59,7.5,9.1,7.8,7.111,9.5,5.0,1,J,2022,Escola Pública,Ametista
-2,4.8,2.3,2.7,6.012,5.0,7.4,3.3,6.292,10.0,5.0,3,I,2016,Escola Pública,Ágata
-3,8.0,0.5,6.3,5.539,5.0,8.5,4.3,4.5,9.0,2.5,1,H,2022,Escola Pública,Quartzo
-1,6.8,8.3,6.3,7.25,6.9,8.2,7.6,7.917,7.5,5.0,0,T,2021,Escola Pública,Ametista
-1,4.7,5.3,6.3,6.464,7.5,8.9,5.0,5.889,7.5,5.0,1,J,2019,Escola Pública,Ágata
-1,6.5,4.0,6.3,6.823,7.5,7.0,5.3,7.5,10.0,5.0,2,A,2020,Escola Pública,Ágata
-1,5.5,8.0,6.3,7.425,7.5,8.9,6.8,7.722,9.0,5.0,1,N,2022,Escola Pública,Ametista
-1,5.0,6.0,6.3,7.181,7.5,9.4,5.5,6.833,9.5,5.0,2,F,2022,Escola Pública,Ametista
-2,9.4,8.2,6.3,7.676,7.5,7.6,8.8,7.917,10.0,5.0,0,K,2022,Escola Pública,Ametista
0,7.8,5.7,9.0,7.564,7.5,7.1,7.5,6.458,8.3,10.0,3,B,2022,Escola Pública,Ametista
-1,10.0,7.0,6.3,7.68,7.5,8.8,8.5,7.667,8.0,5.0,2,Q,2022,Escola Pública,Ametista
-1,6.0,0.5,6.3,6.826,7.5,9.7,3.3,7.556,8.5,5.0,2,U,2022,Escola Pública,Ágata
0,4.5,6.0,5.0,7.339,7.5,8.1,5.2,6.167,9.6,10.0,3,N,2022,Escola Pública,Ametista
-1,7.5,7.5,6.3,7.883,8.1,9.0,7.5,8.5,9.5,5.0,2,A,2017,Rede Decisão,Ametista
0,7.5,4.3,6.3,7.897,7.5,8.6,5.9,8.444,9.5,10.0,2,J,2022,Escola Pública,Ametista
-1,2.5,0.5,6.3,5.313,6.9,4.9,1.5,6.444,10.0,5.0,1,P,2022,Escola Pública,Quartzo
0,8.2,7.8,6.3,8.264,5.6,9.3,8.0,8.667,10.0,10.0,0,O,2021,Rede Decisão,Topázio
-1,4.8,4.8,6.3,6.672,5.6,7.9,4.8,7.5,10.0,5.0,0,J,2022,Escola Pública,Ágata
0,8.7,7.9,6.3,7.515,7.5,7.9,8.3,6.583,9.0,10.0,0,Y,2022,Escola Pública,Ametista
-1,6.5,5.0,5.2,6.738,5.6,8.0,5.6,6.375,9.6,5.0,4,F,2016,Escola Pública,Ágata
0,7.1,5.5,6.3,7.259,6.3,6.6,6.3,7.417,10.0,10.0,0,R,2022,Escola Pública,Ametista
0,8.0,8.0,6.3,8.188,7.5,7.9,8.0,8.333,9.0,10.0,2,P,2019,Escola Pública,Topázio
0,8.4,9.4,6.3,8.325,7.5,8.7,8.9,8.25,8.5,10.0,0,Z,2022,Escola Pública,Topázio
-1,3.0,2.2,6.3,5.557,5.0,7.3,2.6,5.778,8.5,5.0,2,M,2022,Escola Pública,Quartzo
0,5.3,6.3,8.2,7.478,6.3,7.9,6.6,7.417,7.1,10.0,3,M,2022,Escola Pública,Ametista
0,8.0,7.0,6.3,8.306,7.5,9.1,7.5,8.167,9.5,10.0,1,D,2021,Escola Pública,Topázio
-1,9.1,9.5,6.3,7.911,8.1,8.6,9.3,8.167,8.5,5.0,0,A,2021,Escola Pública,Ametista
0,3.8,2.0,1.0,4.875,7.5,2.9,2.3,3.333,8.8,10.0,3,L,2022,Escola Pública,Quartzo
-3,7.3,6.0,8.5,7.056,5.0,8.9,7.3,7.792,7.5,2.5,4,F,2016,Rede Decisão,Ametista
-2,7.0,3.3,6.3,6.51,5.0,8.9,5.2,6.556,8.5,5.0,1,D,2020,Escola Pública,Ágata
-1,9.0,9.5,6.3,7.783,7.5,7.8,9.3,8.333,8.0,5.0,1,U,2022,Escola Pública,Ametista
0,6.7,5.3,8.8,7.468,5.0,8.8,6.9,6.292,7.5,10.0,5,L,2017,Rede Decisão,Ametista
0,7.5,8.0,8.5,8.122,6.9,8.2,8.0,7.792,8.3,10.0,3,L,2022,Escola Pública,Topázio
0,8.0,8.2,6.3,8.378,8.1,9.0,8.1,7.917,10.0,10.0,0,D,2022,Escola Pública,Topázio
-1,7.3,4.7,8.4,7.203,7.5,7.8,6.8,7.75,7.9,5.0,5,A,2016,Rede Decisão,Ametista
-1,4.8,4.7,2.7,6.438,7.5,6.0,4.0,7.944,8.3,5.0,5,C,2019,Escola Pública,Ágata
0,8.3,9.2,6.3,8.207,7.5,9.0,8.8,7.5,8.5,10.0,0,V,2022,Escola Pública,Topázio
0,7.0,3.0,6.3,6.313,4.4,6.9,5.0,5.778,7.4,10.0,2,A,2019,Escola Pública,Ágata
-3,6.7,5.0,6.3,5.987,5.6,5.8,6.0,6.583,7.5,2.5,3,I,2019,Escola Pública,Quartzo
-1,5.7,9.0,9.3,8.843,9.4,9.5,8.0,10.0,10.0,5.0,6,A,2019,Rede Decisão,Topázio
-1,6.0,4.0,6.3,6.731,6.3,9.2,5.0,6.778,7.9,5.0,2,F,2022,Escola Pública,Ágata
-1,7.6,7.8,6.3,6.839,4.4,8.2,7.7,7.417,7.9,5.0,0,Y,2022,Escola Pública,Ágata
-1,7.5,8.0,6.3,7.929,7.5,9.1,7.8,8.833,9.5,5.0,1,U,2022,Escola Pública,Ametista
-2,8.2,9.3,6.3,8.172,7.5,9.2,8.8,8.917,9.0,5.0,0,L,2021,Escola Pública,Topázio
0,8.5,4.5,6.3,7.776,7.5,9.3,6.5,6.778,9.0,10.0,1,P,2022,Escola Pública,Ametista
-1,0.0,5.0,6.3,4.733,7.5,4.5,2.5,4.708,5.4,5.0,3,M,2022,Escola Pública,Quartzo
-2,4.8,3.2,6.3,6.622,7.5,7.2,4.0,8.111,9.0,5.0,2,D,2022,Escola Pública,Ágata
-1,9.5,9.5,6.3,8.232,7.5,10.0,9.5,7.889,9.0,5.0,1,B,2020,Escola Pública,Topázio
-1,8.8,8.3,6.3,8.041,7.5,9.7,8.6,7.667,10.0,5.0,1,L,2019,Escola Pública,Ametista
-1,3.2,8.0,6.3,7.482,7.5,9.1,5.6,8.5,9.0,5.0,2,P,2019,Escola Pública,Ametista
-1,2.0,0.7,6.3,5.722,7.5,7.0,1.3,6.778,9.0,5.0,1,J,2019,Escola Pública,Quartzo
-1,7.2,4.7,5.9,6.75,5.6,9.2,5.9,5.833,8.3,5.0,4,P,2018,Rede Decisão,Ágata
-1,8.2,8.3,8.8,8.656,7.5,9.9,8.4,9.25,10.0,5.0,3,F,2016,Rede Decisão,Topázio
-1,6.3,10.0,9.7,8.087,6.9,7.9,8.6,9.111,9.2,5.0,6,A,2021,Rede Decisão,Topázio
-1,5.8,6.2,5.5,6.763,5.6,7.2,5.8,7.042,8.8,5.0,3,G,2019,Escola Pública,Ágata
-1,8.0,9.7,6.3,7.83,7.5,8.0,8.8,8.278,9.5,5.0,1,P,2021,Escola Pública,Ametista
0,5.7,4.2,6.3,7.683,7.5,8.9,4.9,8.333,9.0,10.0,2,J,2018,Escola Pública,Ametista
-1,4.2,3.0,3.5,5.195,7.5,3.0,3.6,6.889,5.8,5.0,5,C,2019,Escola Pública,Quartzo
-1,4.5,1.3,3.8,5.159,6.3,5.1,3.2,4.792,7.5,5.0,4,P,2018,Escola Pública,Quartzo
0,2.7,4.2,6.3,7.205,7.5,9.5,3.4,7.25,8.5,10.0,0,O,2022,Escola Pública,Ametista
0,8.5,8.2,6.3,8.229,5.6,9.6,8.3,7.778,9.0,10.0,1,C,2021,Escola Pública,Topázio
-2,6.5,6.8,6.3,7.18,7.5,8.3,6.7,7.333,8.9,5.0,1,M,2020,Escola Pública,Ametista
0,7.0,8.9,6.3,7.862,8.1,8.7,8.0,6.333,9.5,10.0,0,A,2022,Escola Pública,Ametista
-1,9.3,9.6,6.3,8.154,7.5,8.9,9.5,9.083,8.5,5.0,0,Z,2022,Escola Pública,Topázio
-1,8.8,8.8,6.3,7.617,8.1,8.2,8.8,7.417,8.5,5.0,0,A,2021,Escola Pública,Ametista
1,7.5,6.7,9.7,8.646,8.1,9.4,8.0,8.667,7.5,10.0,4,A,2020,Rede Decisão,Topázio
0,8.0,8.3,10.0,8.712,7.5,9.6,8.8,8.5,8.3,10.0,5,K,2021,Rede Decisão,Topázio
-1,7.7,5.3,7.7,7.305,7.5,8.0,6.9,7.375,7.9,5.0,3,M,2022,Escola Pública,Ametista
0,6.5,5.0,5.6,7.407,6.9,7.6,5.7,7.667,7.9,10.0,4,F,2021,Escola Pública,Ametista
-2,9.1,9.1,6.3,7.659,7.5,6.7,9.1,8.417,9.5,5.0,0,F,2021,Escola Pública,Ametista
-1,4.7,1.3,6.3,6.446,7.5,9.1,3.0,6.0,9.5,5.0,2,U,2019,Escola Pública,Ágata
-1,5.5,5.8,6.3,6.683,7.5,6.8,5.7,7.556,8.5,5.0,1,B,2018,Escola Pública,Ágata
-1,8.3,5.5,6.3,7.004,5.6,8.7,6.9,7.5,6.9,5.0,1,R,2021,Escola Pública,Ágata
-1,8.2,4.8,9.4,7.368,8.1,8.1,7.5,8.25,7.1,5.0,5,B,2019,Escola Pública,Ametista
0,6.5,4.3,6.3,7.776,7.5,9.6,5.4,7.5,9.5,10.0,0,U,2022,Escola Pública,Ametista
0,2.0,5.0,6.3,7.209,7.5,8.7,3.5,6.833,9.6,10.0,3,C,2022,Escola Pública,Ametista
0,6.5,7.7,6.3,7.819,6.3,8.7,7.1,7.417,10.0,10.0,0,S,2022,Escola Pública,Ametista
-2,6.0,3.0,6.3,5.665,7.5,5.6,4.5,5.917,7.5,5.0,5,B,2022,Escola Pública,Quartzo
-2,9.4,9.6,6.3,8.197,7.5,9.0,9.5,8.417,10.0,5.0,0,K,2022,Escola Pública,Topázio
-1,5.8,6.5,6.3,7.025,7.5,8.0,6.2,7.167,9.5,5.0,0,O,2022,Escola Pública,Ágata
-1,7.7,9.5,9.5,6.847,5.6,6.3,8.9,7.292,5.4,5.0,5,F,2018,Rede Decisão,Ágata
-2,6.0,3.0,5.3,6.196,7.5,6.7,4.8,6.417,7.5,5.0,3,E,2017,Escola Pública,Ágata
-1,5.8,4.8,7.8,7.268,7.5,8.4,6.2,6.958,9.6,5.0,3,C,2022,Escola Pública,Ametista
0,0.0,0.0,6.3,4.245,7.5,4.9,0.0,4.542,0.0,10.0,3,E,2022,Escola Pública,Quartzo
-4,2.5,0.7,0.2,3.7,5.0,3.4,1.1,4.292,7.9,2.5,3,L,2022,Escola Pública,Quartzo
-2,7.0,1.8,6.3,5.949,5.0,8.1,4.4,5.167,9.5,5.0,1,G,2019,Escola Pública,Quartzo
0,9.2,7.1,6.3,8.488,7.5,9.9,8.1,8.889,6.9,10.0,2,B,2019,Escola Pública,Topázio
-2,6.8,7.0,6.3,7.285,5.0,8.9,6.9,8.0,9.5,5.0,0,G,2020,Escola Pública,Ametista
-1,7.0,7.5,6.3,8.0,6.9,10.0,7.3,9.5,9.0,5.0,0,B,2022,Escola Pública,Ametista
-3,7.3,6.5,9.7,7.138,7.5,8.4,7.8,7.542,7.5,2.5,5,A,2022,Escola Pública,Ametista
-1,8.0,5.0,6.3,7.591,7.5,9.5,6.5,7.556,10.0,5.0,1,D,2022,Escola Pública,Ametista
-1,5.0,8.0,6.3,7.619,7.5,9.4,6.5,8.222,9.5,5.0,1,P,2022,Escola Pública,Ametista
-2,7.3,6.3,6.3,7.074,5.0,8.7,6.8,7.333,9.5,5.0,1,J,2020,Escola Pública,Ametista
-1,6.5,4.7,6.3,7.407,7.5,9.3,5.6,7.917,10.0,5.0,1,U,2022,Escola Pública,Ametista
-1,5.3,3.7,6.3,5.844,7.5,5.6,4.5,5.833,8.5,5.0,1,U,2021,Escola Pública,Quartzo
0,8.2,8.5,6.3,8.398,7.5,9.1,8.4,8.0,10.0,10.0,0,Z,2022,Escola Pública,Topázio
-1,8.5,9.2,6.3,7.729,8.1,8.6,8.8,8.083,7.5,5.0,0,D,2022,Escola Pública,Ametista
-1,7.5,6.3,6.3,6.955,7.5,7.6,6.9,7.167,8.0,5.0,0,N,2022,Escola Pública,Ágata
-1,4.0,4.7,2.8,6.259,8.1,4.8,3.8,7.278,9.6,5.0,6,A,2016,Rede Decisão,Ágata
0,3.6,5.7,8.9,7.37,8.8,5.2,6.1,7.944,8.8,10.0,6,A,2018,Rede Decisão,Ametista
-2,1.8,2.0,6.3,6.026,6.9,9.0,1.9,6.25,9.0,5.0,1,G,2022,Escola Pública,Ágata
-1,5.0,3.0,6.3,6.44,7.5,8.1,4.0,7.444,6.8,5.0,1,L,2022,Escola Pública,Ágata
-1,6.7,4.3,6.3,6.866,7.5,7.9,5.5,6.833,10.0,5.0,1,A,2021,Escola Pública,Ágata
-1,6.8,7.2,6.3,7.541,7.5,9.5,7.0,7.417,9.5,5.0,0,D,2022,Escola Pública,Ametista
-1,1.8,0.3,0.0,3.846,5.0,2.7,0.7,4.625,7.1,5.0,5,F,2019,Escola Pública,Quartzo
0,5.5,4.0,6.0,7.429,7.5,7.6,5.2,7.292,9.2,10.0,3,F,2022,Escola Pública,Ametista
-1,5.7,6.8,6.3,7.502,7.5,8.8,6.3,8.444,9.0,5.0,1,A,2021,Escola Pública,Ametista
0,6.3,4.7,1.0,6.618,7.5,6.8,4.0,5.625,8.8,10.0,3,K,2019,Escola Pública,Ágata
0,5.7,8.3,6.0,8.15,5.6,9.7,6.7,8.0,9.2,10.0,4,A,2017,Rede Decisão,Topázio
-2,3.0,4.5,2.3,5.271,7.5,3.0,3.3,7.278,7.1,5.0,5,C,2022,Escola Pública,Quartzo
-2,5.7,8.7,7.3,7.04,5.6,6.6,7.2,8.0,8.3,5.0,5,F,2018,Rede Decisão,Ametista
-1,5.9,6.6,6.3,7.461,7.5,7.4,6.3,9.417,10.0,5.0,0,V,2022,Escola Pública,Ametista
-2,6.7,4.3,6.3,6.723,7.5,6.6,5.5,7.5,9.5,5.0,1,G,2018,Escola Pública,Ágata
-2,7.5,6.0,6.3,6.671,7.5,6.8,6.8,5.958,7.9,5.0,5,K,2022,Escola Pública,Ágata
-1,5.5,1.0,6.3,6.307,5.6,9.7,3.3,6.0,9.5,5.0,1,F,2022,Escola Pública,Ágata
-1,0.0,0.0,6.3,5.412,7.5,6.5,0.0,7.556,7.5,5.0,2,D,2022,Escola Pública,Quartzo
1,8.2,6.7,6.3,8.287,7.5,9.7,7.4,7.778,9.5,10.0,1,B,2021,Rede Decisão,Topázio
-2,7.5,7.8,6.3,7.604,7.5,9.5,7.7,7.833,6.9,5.0,1,D,2017,Escola Pública,Ametista
-2,4.7,0.0,6.3,5.561,5.0,8.6,2.3,5.444,9.5,5.0,2,Q,2018,Escola Pública,Quartzo
-1,8.2,8.0,6.3,7.558,6.3,8.4,8.1,8.0,9.0,5.0,2,I,2017,Escola Pública,Ametista
-1,7.5,8.7,6.3,7.203,5.6,6.8,8.1,7.889,9.0,5.0,2,I,2021,Escola Pública,Ametista
-1,4.3,7.7,6.3,7.417,6.9,10.0,6.0,7.583,9.5,5.0,0,T,2022,Escola Pública,Ametista
-1,4.0,3.8,6.3,6.03,7.5,7.2,3.9,5.375,7.5,5.0,3,M,2019,Escola Pública,Ágata
-1,8.5,8.5,6.3,7.908,5.6,10.0,8.5,8.0,9.0,5.0,2,B,2019,Escola Pública,Ametista
-1,5.3,2.3,2.3,5.848,7.5,4.5,3.3,7.222,7.9,5.0,7,A,2021,Escola Pública,Quartzo
-1,7.8,6.7,7.9,6.576,5.6,7.6,7.5,6.5,7.1,5.0,5,B,2017,Escola Pública,Ágata
-1,9.0,9.0,6.3,8.117,7.5,10.0,9.0,7.5,9.0,5.0,2,L,2022,Escola Pública,Topázio
-3,5.0,0.0,0.5,4.837,7.5,3.7,1.8,6.292,7.9,2.5,3,L,2022,Escola Pública,Quartzo
-1,6.0,3.7,3.3,5.527,5.6,5.7,4.3,5.125,7.1,5.0,3,K,2017,Escola Pública,Quartzo
0,8.2,8.4,8.9,9.354,9.4,10.0,8.5,9.667,8.8,10.0,5,L,2017,Rede Decisão,Topázio
-1,5.5,6.0,6.3,6.433,5.6,7.9,5.8,6.667,7.4,5.0,0,D,2022,Escola Pública,Ágata
0,5.0,7.0,6.3,6.799,6.9,4.4,6.0,7.333,10.0,10.0,0,T,2022,Escola Pública,Ágata
-1,7.5,0.0,6.3,6.924,7.5,9.4,3.8,7.5,9.0,5.0,2,P,2022,Escola Pública,Ágata
-2,8.5,9.2,6.3,7.303,7.5,7.4,8.8,7.278,7.4,5.0,1,M,2019,Escola Pública,Ametista
-1,9.0,0.0,6.3,6.575,7.5,7.4,4.5,7.556,8.0,5.0,1,C,2022,Escola Pública,Ágata
0,3.5,5.0,6.3,6.243,5.0,7.3,4.3,5.833,6.7,10.0,5,K,2022,Escola Pública,Ágata
-1,2.5,1.8,4.5,5.323,5.0,4.2,3.0,6.389,9.2,5.0,7,A,2016,Escola Pública,Quartzo
-2,8.0,5.5,6.3,7.308,7.5,8.6,6.8,7.556,8.5,5.0,1,R,2022,Escola Pública,Ametista
-2,5.7,0.2,6.3,5.249,3.8,5.8,2.9,6.722,8.0,5.0,2,A,2018,Escola JP II,Quartzo
0,8.9,9.4,6.3,8.65,8.1,9.2,9.2,8.583,8.5,10.0,0,A,2022,Escola Pública,Topázio
0,7.0,5.7,3.4,7.501,5.6,8.2,5.4,7.875,8.3,10.0,4,B,2016,Rede Decisão,Ametista
0,5.2,5.7,4.2,7.44,7.5,8.2,5.0,6.458,10.0,10.0,3,G,2019,Escola Pública,Ametista
-1,2.3,1.0,0.5,4.563,5.0,3.8,1.3,5.542,7.5,5.0,3,G,2019,Escola Pública,Quartzo
0,4.4,8.5,9.7,7.605,7.5,6.4,7.5,7.333,8.8,10.0,6,A,2021,Escola Pública,Ametista
0,7.5,6.7,8.5,8.465,7.5,8.8,7.6,8.458,9.2,10.0,3,C,2021,Escola Pública,Topázio
-2,6.8,4.0,6.3,6.777,6.3,7.7,5.4,7.333,9.0,5.0,2,I,2017,Escola Pública,Ágata
-2,3.5,5.0,6.3,4.87,7.5,6.1,4.3,5.125,0.0,5.0,3,C,2022,Escola Pública,Quartzo
-2,5.0,5.8,6.3,7.232,7.5,9.3,5.4,7.667,9.5,5.0,0,Q,2022,Escola Pública,Ametista
-2,5.0,6.0,6.3,6.596,7.5,6.8,5.5,6.417,8.8,5.0,5,K,2022,Escola Pública,Ágata
-1,6.0,7.3,6.3,6.525,7.5,8.1,6.7,5.417,8.9,5.0,0,G,2022,Escola Pública,Ágata
-2,7.7,4.2,6.3,6.9,7.5,7.4,5.9,7.167,9.5,5.0,2,B,2020,Escola Pública,Ágata
-1,7.2,6.8,6.3,7.303,5.6,9.5,7.0,7.5,8.5,5.0,1,F,2019,Escola Pública,Ametista
0,4.2,3.0,1.8,5.672,7.5,5.1,3.0,5.056,6.7,10.0,3,N,2022,Escola Pública,Quartzo
-1,5.8,5.6,6.3,6.976,7.5,7.9,5.7,7.25,10.0,5.0,0,K,2022,Escola Pública,Ágata
-1,5.3,2.7,2.3,4.44,7.5,5.1,3.4,4.417,0.0,5.0,3,C,2022,Escola Pública,Quartzo
-2,6.3,5.3,7.2,7.022,5.6,8.1,6.3,6.625,10.0,5.0,3,G,2018,Escola Pública,Ágata
0,8.0,7.0,6.3,8.0,7.5,9.6,7.5,7.333,7.4,10.0,1,D,2022,Escola Pública,Ametista
-1,9.5,8.5,6.3,8.058,5.6,9.2,9.0,9.167,9.5,5.0,0,J,2022,Escola Pública,Ametista
-1,8.2,6.5,6.3,7.556,7.5,9.0,7.3,7.778,8.5,5.0,2,L,2018,Escola Pública,Ametista
-2,7.3,8.7,6.3,6.026,5.0,5.1,8.0,5.833,8.0,5.0,0,G,2019,Escola Pública,Ágata
-1,8.0,6.0,6.3,7.461,7.5,9.7,7.0,7.722,7.5,5.0,1,A,2022,Escola Pública,Ametista
-1,6.2,9.7,6.3,7.594,7.5,9.2,7.9,7.167,9.0,5.0,1,M,2021,Escola Pública,Ametista
0,4.0,4.0,3.0,7.11,7.5,7.5,3.7,7.208,9.6,10.0,3,F,2022,Escola Pública,Ametista
0,9.0,7.0,6.3,7.961,4.4,9.2,8.0,8.722,6.9,10.0,2,A,2019,Rede Decisão,Ametista
