DEFAS,PORTUG,MATEM,INGLÊS,INDE_22,IPS,IEG,IDA,IPV,IAA,IAN,FASE,TURMA,ANO_INGRESSO,INSTITUIÇÃO_DE_ENSINO,PEDRA_22
0,6.5,5.3,9.2,7.502,7.5,8.5,7.0,5.583,7.9,10.0,3,D,2018,Escola Pública,Ametista
0,6.5,8.0,6.3,8.064,7.5,9.7,7.3,7.333,9.0,10.0,0,O,2022,Escola Pública,Topázio
-1,0.7,1.2,2.9,4.786,6.3,4.6,1.6,6.278,7.1,5.0,7,A,2018,Escola Pública,Quartzo
0,6.3,5.0,8.7,8.155,5.6,8.9,6.7,8.5,9.2,10.0,3,B,2016,Rede Decisão,Topázio
-1,6.5,4.7,2.1,7.357,9.4,8.3,4.4,7.792,10.0,5.0,4,L,2018,Escola Pública,Ametista
-1,6.3,7.3,5.7,7.897,6.9,10.0,6.4,8.667,8.8,5.0,3,N,2022,Escola Pública,Ametista
0,6.8,4.7,5.5,6.922,6.9,7.7,5.7,6.0,6.7,10.0,4,A,2019,Escola Pública,Ágata
0,5.5,4.0,6.3,6.973,7.5,6.9,4.8,6.889,9.0,10.0,2,F,2022,Escola Pública,Ágata
0,4.4,7.8,6.3,7.587,7.5,7.8,6.1,7.417,10.0,10.0,0,M,2022,Escola Pública,Ametista
0,3.0,5.8,6.3,6.985,7.5,7.5,4.4,6.583,10.0,10.0,0,H,2022,Escola Pública,Ágata
-1,5.0,8.0,6.3,6.71,5.0,8.7,6.5,6.389,9.5,5.0,1,A,2022,Escola Pública,Ágata
0,4.0,5.8,6.9,6.591,5.6,7.9,5.6,7.556,0.0,10.0,7,A,2016,Rede Decisão,Ágata
0,7.5,6.0,8.3,8.218,4.4,9.7,7.3,8.292,8.8,10.0,3,B,2021,Rede Decisão,Topázio
0,6.3,9.3,6.3,8.012,7.5,7.9,7.8,8.444,8.0,10.0,2,U,2019,Escola Pública,Ametista
-1,7.7,8.5,6.3,7.382,5.6,8.5,8.1,7.75,9.0,5.0,0,J,2021,Rede Decisão,Ametista
-3,4.8,4.0,1.7,5.942,7.5,6.9,3.5,6.375,8.8,2.5,3,D,2019,Escola Pública,Quartzo
-1,6.2,9.6,6.3,7.598,7.5,7.5,7.9,8.5,10.0,5.0,0,M,2022,Escola Pública,Ametista
-1,8.5,6.0,6.3,7.413,7.5,8.8,7.3,7.722,8.5,5.0,1,A,2022,Escola Pública,Ametista
-2,6.0,6.5,6.3,6.98,7.5,7.2,6.3,7.417,10.0,5.0,0,Q,2022,Escola Pública,Ágata
-1,6.2,2.2,6.3,6.301,6.9,7.9,4.2,6.167,10.0,5.0,1,G,2021,Escola Pública,Ágata
0,5.7,4.7,10.0,7.04,7.5,5.6,6.8,5.944,8.8,10.0,3,N,2021,Escola Pública,Ametista
0,8.6,9.5,6.3,8.121,6.3,8.7,9.0,7.5,9.5,10.0,0,R,2022,Escola Pública,Topázio
-1,8.2,8.0,6.3,7.911,7.5,9.1,8.1,8.333,9.0,5.0,0,L,2022,Escola Pública,Ametista
-1,7.0,5.0,6.3,6.962,5.6,8.8,6.0,7.333,8.5,5.0,1,E,2022,Escola Pública,Ágata
-1,7.0,6.5,6.3,6.996,7.5,7.4,6.8,7.25,9.0,5.0,1,U,2022,Escola Pública,Ágata
0,3.2,2.3,6.3,6.986,7.5,8.8,2.8,7.333,8.5,10.0,2,A,2021,Escola Pública,Ágata
-1,10.0,6.0,6.3,8.428,7.5,10.0,8.0,9.556,10.0,5.0,2,L,2022,Escola Pública,Topázio
-1,7.7,6.5,7.3,7.29,5.0,8.3,7.1,7.625,9.2,5.0,5,K,2017,Rede Decisão,Ametista
-1,6.0,4.0,6.3,6.323,7.5,6.5,5.0,6.125,9.2,5.0,4,H,2022,Escola Pública,Ágata
-2,6.8,2.3,6.3,6.35,7.5,6.5,4.6,7.111,9.0,5.0,2,M,2022,Escola Pública,Ágata
0,6.8,5.0,6.0,6.806,7.5,6.9,5.9,5.625,6.7,10.0,3,K,2019,Escola Pública,Ágata
-1,2.0,3.0,6.3,6.245,7.5,8.5,2.5,6.778,8.0,5.0,2,M,2022,Escola Pública,Ágata
0,8.0,9.5,6.3,8.75,7.5,10.0,8.8,8.167,9.5,10.0,2,F,2019,Escola Pública,Topázio
0,2.8,2.2,6.3,4.28,7.5,3.1,2.5,2.5,9.0,10.0,0,E,2021,Escola Pública,Quartzo
-1,4.5,5.0,6.3,6.287,7.5,5.6,4.8,7.167,9.0,5.0,2,Q,2021,Escola Pública,Ágata
-2,9.0,4.5,6.3,6.309,5.6,7.5,6.8,5.583,8.5,5.0,1,F,2022,Escola Pública,Ágata
-1,6.8,4.7,2.5,6.607,7.5,6.8,4.7,7.375,8.8,5.0,4,F,2021,Escola Pública,Ágata
0,4.0,5.0,6.3,7.175,7.5,8.1,4.5,6.778,9.0,10.0,2,M,2022,Escola Pública,Ametista
0,7.2,7.0,10.0,8.253,6.3,9.0,8.1,7.542,9.2,10.0,4,L,2020,Escola Pública,Topázio
-2,8.3,7.7,6.3,8.079,7.5,9.9,8.0,8.167,10.0,5.0,1,D,2022,Escola Pública,Topázio
0,6.5,4.5,10.0,8.404,7.5,10.0,7.0,8.25,10.0,10.0,5,B,2019,Rede Decisão,Topázio
-1,9.7,10.0,6.3,8.465,7.5,9.2,9.8,9.5,8.0,5.0,1,A,2020,Rede Decisão,Topázio
-1,7.3,6.5,6.3,7.451,7.5,8.8,6.9,8.167,8.0,5.0,1,U,2022,Escola Pública,Ametista
-1,2.7,5.3,6.3,5.335,7.5,6.2,4.0,6.944,0.0,5.0,1,D,2021,Escola Pública,Quartzo
-1,9.5,7.5,6.3,7.585,7.5,8.6,8.5,6.611,9.5,5.0,2,M,2022,Escola Pública,Ametista
0,5.7,3.7,6.3,6.599,7.5,6.2,4.7,6.444,7.9,10.0,2,M,2022,Escola Pública,Ágata
-1,1.7,5.7,5.0,5.372,7.5,3.8,4.1,4.833,9.6,5.0,3,B,2020,Escola Pública,Quartzo
-1,9.7,7.2,6.3,7.381,5.6,8.5,8.4,7.778,8.0,5.0,1,K,2020,Escola Pública,Ametista
0,6.3,3.7,6.3,7.398,7.5,9.1,5.0,6.889,8.5,10.0,1,K,2020,Escola Pública,Ametista
-2,5.8,8.6,6.3,7.3,7.5,8.5,7.2,7.5,8.5,5.0,0,V,2022,Escola Pública,Ametista
0,9.0,5.8,6.3,7.902,7.5,9.4,7.4,6.833,9.5,10.0,2,A,2022,Escola Pública,Ametista
0,4.5,3.7,6.3,7.335,7.5,8.9,4.1,7.333,9.5,10.0,0,O,2022,Escola Pública,Ametista
0,6.3,1.7,9.3,7.533,7.5,7.4,5.8,7.875,9.2,10.0,5,B,2021,Escola Pública,Ametista
-2,5.0,4.7,6.8,5.705,4.4,5.6,5.5,4.917,7.9,5.0,3,B,2018,Escola JP II,Quartzo
-2,4.5,5.7,6.3,6.34,5.0,6.8,5.1,6.611,10.0,5.0,2,M,2019,Escola Pública,Ágata
-2,9.3,9.8,6.3,8.339,7.5,9.7,9.6,8.278,9.5,5.0,1,M,2021,Escola Pública,Topázio
0,6.0,5.0,6.3,7.972,7.5,9.7,5.5,8.111,9.0,10.0,2,P,2022,Escola Pública,Ametista
0,7.2,6.5,5.4,6.802,5.6,5.8,6.3,6.042,8.8,10.0,3,M,2019,Escola Pública,Ágata
-1,8.0,8.3,6.3,8.261,7.5,9.9,8.2,8.944,9.5,5.0,1,J,2020,Escola Pública,Topázio
0,7.3,6.3,6.7,7.278,5.0,8.2,6.8,6.708,7.1,10.0,3,M,2019,Rede Decisão,Ametista
-1,9.5,8.0,6.3,7.7,7.5,8.8,8.8,7.556,8.5,5.0,1,B,2018,Escola Pública,Ametista
-3,8.5,8.0,6.3,7.306,6.9,8.6,8.3,7.944,8.0,2.5,1,J,2018,Escola Pública,Ametista
0,8.5,6.5,6.3,8.175,7.5,9.4,7.5,8.222,8.0,10.0,2,L,2020,Rede Decisão,Topázio
-2,3.8,3.7,6.0,6.4,7.5,7.5,4.5,6.0,7.9,5.0,3,M,2022,Escola Pública,Ágata
-1,8.2,8.0,6.3,7.44,2.5,9.8,8.1,8.083,9.0,5.0,0,E,2021,Escola Pública,Ametista
0,5.7,8.0,6.3,7.794,7.5,8.8,6.8,7.333,8.5,10.0,1,B,2021,Escola Pública,Ametista
-2,5.8,5.5,6.3,5.79,4.4,5.7,5.7,6.417,7.9,5.0,0,N,2021,Escola Pública,Quartzo
-1,5.7,5.5,8.5,6.645,5.6,5.7,6.6,7.125,9.2,5.0,5,L,2016,Rede Decisão,Ágata
0,8.8,9.7,6.3,8.361,6.3,9.1,9.3,8.0,10.0,10.0,0,R,2022,Escola Pública,Topázio
-3,5.7,1.3,5.4,6.328,7.5,8.0,4.1,6.958,7.5,2.5,3,A,2021,Escola Pública,Ágata
-1,8.1,9.8,6.3,7.488,7.5,7.0,9.0,7.833,9.5,5.0,0,Y,2022,Escola Pública,Ametista
-2,2.0,2.0,6.3,5.675,6.3,6.5,2.0,7.444,7.4,5.0,2,K,2018,Escola Pública,Quartzo
0,8.9,8.7,6.3,8.279,7.5,9.0,8.8,7.333,9.5,10.0,0,R,2021,Escola Pública,Topázio
-1,5.8,4.3,3.9,6.49,5.6,8.1,4.7,6.458,8.3,5.0,4,L,2021,Escola Pública,Ágata
-1,2.9,5.7,0.2,5.712,5.0,6.6,2.9,6.111,8.8,5.0,5,C,2017,Escola Pública,Quartzo
-2,8.2,8.8,6.3,7.679,6.9,8.1,8.5,8.083,10.0,5.0,0,F,2020,Escola Pública,Ametista
0,7.5,6.5,9.1,8.355,5.6,8.8,7.7,8.458,10.0,10.0,4,F,2019,Rede Decisão,Topázio
0,5.2,6.3,8.8,7.591,5.6,8.9,6.8,7.417,7.9,10.0,5,A,2019,Rede Decisão,Ametista
-1,8.0,8.0,6.3,6.864,5.0,6.2,8.0,7.833,9.0,5.0,0,C,2022,Escola Pública,Ágata
-2,2.2,1.3,0.0,4.332,7.5,2.0,1.2,5.833,7.9,5.0,5,C,2019,Escola Pública,Quartzo
-1,7.3,7.3,6.3,7.189,6.9,8.0,7.3,7.389,8.5,5.0,1,P,2022,Escola Pública,Ametista
-1,7.2,7.8,6.3,7.592,6.9,9.0,7.5,8.417,8.9,5.0,0,S,2022,Escola Pública,Ametista
-1,5.3,7.7,6.3,6.81,5.6,7.9,6.5,7.0,10.0,5.0,0,S,2022,Escola Pública,Ágata
-1,7.8,6.7,6.3,7.621,7.5,9.9,7.3,7.222,10.0,5.0,1,A,2020,Escola Pública,Ametista
-1,7.8,5.4,6.3,7.496,7.5,9.5,6.6,7.333,9.5,5.0,2,K,2019,Escola Pública,Ametista
0,5.0,6.3,2.8,6.943,5.0,8.1,4.7,7.042,7.1,10.0,3,F,2017,Rede Decisão,Ágata
-1,5.7,5.3,2.8,6.478,7.5,6.3,4.6,6.667,10.0,5.0,4,F,2019,Escola Pública,Ágata
0,7.8,5.3,9.7,8.063,5.6,9.8,7.6,7.5,7.1,10.0,4,L,2017,Rede Decisão,Topázio
-1,1.1,6.3,3.8,4.985,8.8,4.0,3.7,7.611,0.0,5.0,6,A,2022,Escola Pública,Quartzo
-1,6.5,4.7,6.3,6.512,7.5,7.7,5.6,5.833,8.0,5.0,2,Q,2019,Escola Pública,Ágata
-1,5.8,3.7,0.0,4.265,5.0,6.2,3.2,3.75,0.0,5.0,3,B,2022,Escola Pública,Quartzo
-1,9.0,5.5,6.3,6.969,5.0,7.9,7.3,7.5,8.0,5.0,2,F,2018,Rede Decisão,Ágata
-1,3.7,4.5,6.3,6.313,7.5,6.7,4.1,6.722,9.5,5.0,2,U,2022,Escola Pública,Ágata
0,7.0,8.0,6.3,8.264,7.5,10.0,7.5,8.444,7.0,10.0,2,D,2022,Escola Pública,Topázio
0,6.2,5.8,5.0,7.118,5.6,8.2,5.7,5.917,9.2,10.0,4,F,2017,Escola Pública,Ametista
-1,5.3,4.0,3.8,6.075,7.5,6.2,4.4,6.042,7.9,5.0,4,P,2019,Escola Pública,Ágata
-1,5.7,8.2,9.0,6.818,7.5,8.4,7.6,7.667,0.0,5.0,7,A,2017,Rede Decisão,Ágata
-1,4.3,3.2,6.3,4.949,5.0,7.2,3.8,3.75,6.9,5.0,1,H,2020,Escola Pública,Quartzo
-1,5.8,1.3,6.3,5.75,5.6,5.4,3.6,6.667,9.5,5.0,2,B,2021,Escola Pública,Quartzo
-1,0.0,6.0,0.0,4.989,7.5,3.3,2.0,5.833,9.6,5.0,5,C,2022,Escola Pública,Quartzo
0,9.8,8.8,6.3,8.971,7.5,10.0,9.3,9.0,9.5,10.0,1,K,2021,Escola Pública,Topázio
-1,4.8,2.7,1.7,5.557,6.3,6.9,3.1,5.875,5.4,5.0,3,M,2022,Escola Pública,Quartzo
0,8.5,9.2,6.3,8.717,7.5,9.3,8.8,9.111,8.5,10.0,2,L,2021,Escola Pública,Topázio
-1,7.3,6.3,10.0,7.947,7.5,9.2,7.9,8.208,8.3,5.0,4,H,2022,Escola Pública,Ametista
-1,5.5,7.0,6.3,6.79,7.5,7.3,6.3,6.417,8.3,5.0,3,E,2022,Escola Pública,Ágata
-1,3.5,7.0,5.0,6.892,7.5,8.5,5.2,6.0,9.6,5.0,3,D,2022,Escola Pública,Ágata
0,8.5,7.0,6.3,8.151,7.5,9.6,7.8,7.5,8.0,10.0,1,R,2022,Escola Pública,Topázio
-1,5.7,4.7,6.3,7.075,7.5,8.5,5.2,7.5,9.5,5.0,2,D,2019,Escola Pública,Ametista
-1,7.2,4.7,5.0,6.875,7.5,7.1,5.6,7.625,7.9,5.0,4,F,2016,Escola Pública,Ágata
-1,4.0,0.5,6.3,6.647,7.5,9.6,2.3,7.667,8.4,5.0,2,L,2022,Escola Pública,Ágata
-2,6.7,7.3,6.3,7.511,7.5,9.0,7.0,7.583,9.5,5.0,0,L,2021,Escola Pública,Ametista
-1,6.0,3.8,6.3,6.709,5.6,9.1,4.9,7.056,8.5,5.0,2,U,2019,Escola Pública,Ágata
0,4.5,3.7,6.2,6.72,5.6,7.9,4.8,6.083,8.3,10.0,5,A,2019,Rede Decisão,Ágata
-1,7.0,8.7,6.3,8.057,7.5,9.8,7.8,8.167,9.5,5.0,1,E,2022,Escola Pública,Ametista
-2,7.5,7.8,9.9,8.512,8.8,10.0,8.4,8.667,8.8,5.0,4,A,2021,Rede Decisão,Topázio
-1,8.0,8.8,6.3,7.642,7.5,8.6,8.4,7.667,9.0,5.0,0,O,2022,Escola Pública,Ametista
-1,7.0,9.0,9.3,7.305,5.6,8.1,8.4,7.875,7.1,5.0,5,B,2017,Rede Decisão,Ametista
-2,6.7,7.3,6.3,6.928,7.5,6.8,7.0,7.222,8.5,5.0,1,N,2022,Escola Pública,Ágata
-1,5.5,6.0,6.3,6.875,7.5,8.3,5.8,6.611,8.5,5.0,2,M,2022,Escola Pública,Ágata
-1,7.7,8.0,6.3,7.42,7.5,8.7,7.8,7.25,10.0,5.0,0,G,2021,Escola Pública,Ametista
-1,3.8,9.2,7.7,7.979,8.8,8.3,6.9,9.667,8.3,5.0,6,A,2021,Escola Pública,Ametista
-1,8.2,6.8,6.3,7.843,7.5,9.1,7.5,8.111,10.0,5.0,2,Q,2021,Escola Pública,Ametista
-2,2.3,3.3,6.3,5.852,6.9,5.7,2.8,7.167,9.0,5.0,2,J,2017,Escola Pública,Quartzo
-2,3.0,2.2,6.3,5.702,7.5,5.0,2.6,7.083,9.5,5.0,0,N,2022,Escola Pública,Quartzo
2,6.3,3.3,8.8,7.861,7.5,8.9,6.2,7.5,9.6,10.0,5,B,2018,Rede Decisão,Ametista
-1,6.7,2.0,6.3,6.957,7.5,9.0,4.3,7.5,9.0,5.0,2,F,2019,Escola Pública,Ágata
-2,7.2,8.5,6.3,7.504,7.5,8.9,7.8,7.417,9.0,5.0,0,O,2022,Escola Pública,Ametista
-1,5.7,1.0,6.3,6.39,6.9,6.9,3.3,8.167,9.5,5.0,1,G,2019,Escola Pública,Ágata
0,7.0,5.3,8.5,7.926,7.5,7.7,6.9,7.917,8.3,10.0,3,I,2019,Escola Pública,Ametista
-1,6.3,7.8,6.3,7.507,7.5,9.3,7.1,7.389,9.5,5.0,1,K,2021,Escola Pública,Ametista
-2,0.0,2.0,6.3,5.18,7.5,5.5,1.0,6.0,8.5,5.0,1,K,2018,Escola Pública,Quartzo
-1,7.0,7.3,6.3,7.218,5.6,9.0,7.2,7.5,8.5,5.0,0,J,2022,Escola Pública,Ametista
0,7.2,6.3,6.3,8.27,6.9,9.3,6.8,8.611,10.0,10.0,2,A,2022,Escola Pública,Topázio
-1,9.0,7.0,6.3,7.665,7.5,9.5,8.0,7.0,7.9,5.0,7,D,2022,Escola Pública,Ametista
-2,2.7,4.8,6.3,4.934,7.5,3.8,3.8,6.0,3.5,5.0,1,N,2019,Escola Pública,Quartzo
-1,8.0,6.0,6.3,6.143,7.5,6.0,7.0,8.111,0.0,5.0,2,P,2022,Escola Pública,Ágata
-2,6.5,5.7,5.2,6.682,5.0,8.8,5.8,6.75,7.1,5.0,5,K,2018,Rede Decisão,Ágata
-2,10.0,8.5,6.3,7.891,7.5,9.4,9.3,7.25,8.8,5.0,5,B,2022,Escola Pública,Ametista
-1,4.7,3.8,0.5,5.679,7.5,5.3,3.0,5.833,9.2,5.0,3,K,2018,Escola Pública,Quartzo
-2,2.3,4.7,2.0,5.424,6.3,5.8,3.0,5.625,7.1,5.0,3,L,2022,Escola Pública,Quartzo
0,6.7,7.3,6.3,7.834,5.6,8.1,7.0,8.389,9.0,10.0,2,D,2019,Escola Pública,Ametista
-1,2.5,2.8,6.3,5.811,7.5,5.3,2.7,6.611,10.0,5.0,2,M,2019,Escola Pública,Quartzo
-2,3.3,5.0,6.3,5.552,7.5,4.6,4.2,6.083,9.0,5.0,0,G,2021,Escola Pública,Quartzo
0,7.5,0.0,6.3,7.3,7.5,8.8,3.8,7.25,8.3,10.0,3,A,2022,Escola Pública,Ametista
-1,3.8,5.3,6.3,6.69,5.0,8.4,4.6,8.278,10.0,5.0,2,D,2019,Escola Pública,Ágata
-1,5.7,6.3,6.3,7.106,5.6,8.9,6.0,7.75,9.5,5.0,1,F,2020,Escola Pública,Ametista
0,2.7,5.0,0.0,5.671,7.5,4.3,2.6,4.875,9.6,10.0,3,E,2021,Escola Pública,Quartzo
-2,4.0,5.2,6.3,6.342,7.5,7.0,4.6,6.917,9.0,5.0,0,T,2022,Escola Pública,Ágata
-1,7.8,7.7,6.3,7.866,7.5,9.3,7.8,8.333,8.5,5.0,1,R,2022,Escola Pública,Ametista
-1,9.3,6.5,6.3,7.413,7.5,7.9,7.9,7.5,8.5,5.0,2,F,2018,Escola Pública,Ametista
-1,5.2,4.2,6.3,6.408,5.6,8.7,4.7,7.056,6.4,5.0,2,L,2022,Escola Pública,Ágata
0,6.7,7.7,6.3,7.656,5.6,9.1,7.2,7.417,8.0,10.0,0,J,2022,Escola Pública,Ametista
-1,8.8,9.0,6.3,8.338,7.5,9.0,8.9,9.056,10.0,5.0,1,E,2019,Escola Pública,Topázio
0,7.5,6.0,6.3,7.424,4.4,8.8,6.8,6.958,7.9,10.0,3,A,2022,Escola Pública,Ametista
-1,5.5,4.3,6.3,7.064,7.5,9.0,4.9,7.222,10.0,5.0,1,J,2022,Escola Pública,Ametista
0,5.3,6.7,6.3,7.093,6.9,6.5,6.0,7.417,9.5,10.0,0,S,2022,Escola Pública,Ametista
-2,6.5,4.7,8.3,6.776,5.6,7.3,6.5,7.208,8.3,5.0,4,L,2018,Escola Pública,Ágata
-1,4.2,2.3,2.2,5.097,5.0,7.4,2.9,4.292,6.7,5.0,3,G,2017,Escola Pública,Quartzo
-2,7.5,8.5,6.3,6.953,5.6,6.9,8.0,7.25,9.0,5.0,0,G,2019,Escola Pública,Ágata
-1,7.5,8.8,6.3,8.06,7.5,9.4,8.2,8.25,10.0,5.0,0,L,2022,Escola Pública,Topázio
-1,0.0,0.0,6.3,3.915,6.3,3.8,0.0,4.625,5.4,5.0,5,F,2022,Escola Pública,Quartzo
-2,4.5,6.0,6.3,5.894,7.5,6.3,5.3,5.0,7.9,5.0,4,A,2022,Escola Pública,Quartzo
-1,7.5,0.0,6.3,6.067,7.5,5.8,3.8,7.222,8.5,5.0,1,J,2022,Escola Pública,Ágata
-1,9.1,8.5,6.3,7.48,8.1,8.5,8.8,6.75,8.5,5.0,0,A,2021,Escola Pública,Ametista
-3,6.2,7.2,6.8,6.846,5.6,8.2,6.7,7.417,7.9,2.5,4,A,2016,Rede Decisão,Ágata
-2,5.7,3.0,2.7,5.886,6.3,6.8,3.8,5.583,8.3,5.0,4,A,2019,Escola Pública,Quartzo
-1,3.0,1.0,6.3,6.644,6.9,10.0,2.0,7.056,10.0,5.0,2,F,2022,Escola Pública,Ágata
0,8.3,8.8,8.4,8.941,8.1,9.7,8.5,9.083,8.3,10.0,5,L,2016,Rede Decisão,Topázio
0,5.7,5.3,6.3,7.426,8.1,6.6,5.5,8.167,10.0,10.0,0,H,2022,Escola Pública,Ametista
2,8.0,7.7,9.8,9.442,9.4,9.7,8.5,9.75,10.0,10.0,5,L,2019,Rede Decisão,Topázio
0,4.0,7.5,6.3,7.914,7.5,9.3,5.8,7.611,10.0,10.0,2,B,2022,Escola Pública,Ametista
-1,2.8,2.0,6.3,5.263,5.0,4.8,2.4,6.833,9.0,5.0,1,A,2019,Escola Pública,Quartzo
